,reviews_raw,language,reviews
37,"Cultura de Qualidade, preocupação com excelência, marcas fortes em decorrência desses fatores. Bom ambiente para aprendizado. há um campo enorme de atuação e aprendizagem em várias áreas.",p,"Culture of Quality, concern for excellence, strong brands as a result of these factors. Good environment for learning. there is a huge field of action and learning in various areas."
38,Fidelidade com os pagamentos dos seus empregados; beneficios; academia; mercado; Participação nos resultados; plano de carreira; investimento social,p,Loyalty with the payments of its employees; benefits; Academy; Marketplace; Participation in results; career path; social investment
39,"Ótimos benefícios, salario em dia. Ambiente de trabalho muito bom. Possibilidade de subir de cargo. A empresa valoriza o funcionário. Recomendo.",p,"Great benefits, salary in day. Very good work environment. Possibility to charge. The company values the employee. I recommend."
40,"Salários bons, clima organizacional positivo, oportunidades de sonhar grande, benefícios melhor do que a média do mercado, oportunidade de mobilidade pelo país grande, facilidade na comunicação com altos gestores",p,"Good wages, positive organizational climate, great dream opportunities, better than average market benefits, great country mobility opportunity, easy communication with senior managers"
41,"Reconhecimento, oportunidades de treinamentos e viagens ao exterior. Oportunidades de trabalho internacional e benefícios de uma empresa global.",p,"Recognition, training opportunities and trips abroad. International job opportunities and benefits of a global company."
42,"A valorização do funcionário, programas de benefícios e incentivos constantes. Supervisores atenciosos e engajados com os colaboradores. ok",p,"Employee appreciation, constant benefit programs and incentives. Supervisores attentive and engaged with employees. OK"
43,Empresa com grande potencial de crescimento global. Há autonomia e grandes profissionais o que permite o crescimento profissional apesar de todas demais barreiras.,p,Company with great potential for global growth. There is autonomy and great professionals which allows professional growth despite all other barriers.
44,"Ambiente de trabalho estruturado, com lideranças preocupadas com seu desenvolvimento, bons benefícios, ambiente acolhedor e descontraído. Boa chance de crescimento se você tiver dedicação e investir em aperfeiçoamento profissional.",p,"Structured work environment, with leaders concerned with its development, good benefits, warm and relaxed environment. Good chance of growth if you have dedication and invest in professional improvement."
45,"A BRF é uma das maiores empresas alimentícias do mundo, portanto trabalhar lá é ótimo para quem está em início de carreira. O profissional aprende muito sobre a cadeia de suprimentos e o processo industrial no geral.",p,"BRF is one of the largest food companies in the world, so working there is great for those who are early in their careers. The professional learns a lot about the supply chain and the industrial process in general."
46,"Companherismo, beneficios , funcionarios consegue falar com RH, lideres supervisor,gerente com muita facilidade. Salario muito bom salario acima base de 1500.",p,"Companionship, benefits, officers can talk to HR, leaders supervisor, manager very easily. Salary very good salary above base of 1500."
47,"Empresa boa com transportes rodoviários boa organização, responsabilidade e comprometimento com os funcionários e o próprio consumidor, dês do autônomo ao empreendedor",p,"Good company with road transport good organization, responsibility and commitment to employees and the consumer, from the autonomous to the entrepreneur"
48,"Muitas oportunidades através de recrutamento interno, benefícios como gympass, previdência privada, boas opções de plano de saúde mas ainda poderia melhorar quando comparada com outraa empresas do mesmo porte. Em geral o mercado reconhece os profissionais com experiência na BRF.",p,"Many opportunities through internal recruitment, benefits like gympass, private pension, good health plan options but could still improve when compared to other companies of the same size. In general, the market recognizes professionals with experience in BRF."
49,Muito satisfeita com a dedicação e respeito da empresa para com o funcionário. Pagamento sempre em ordem e cumprimento dos benefícios correto!,p,Very pleased with the dedication and respect of the company towards the employee. Payment always in order and fulfillment of the correct benefits!
50,"Reconheimento de funcionários, ótimos benefícios. Participação nos lucros e resultados da empresa, PPR. Reconhecimento por tempo de casa. Ótima estrutura para se trabalhar.",p,"Recognition of employees, great benefits. Participation in profits and results of the company, PPR. Recognition by time of home. Great structure to work with."
51,Instalações administrativas e processos administrativos estão em linha com as melhores práticas de mercado. Remuneração em linha com a mediana de mercado.,p,Administrative facilities and administrative processes are in line with best market practices. Remuneration in line with the market median.
52,Na empresa o Clima organizacional e a gestão acessível torna o ambiente de trabalho agradável tornando as decisões mais rápidas. É uma ótima empresa pra trabalhar.,p,In the company the organizational climate and the accessible management makes the work environment pleasant making decisions faster. It\'s a great company to work with.
53,Projeção de Carreira Qualidade Liberdade para trabalhar Atuação Global.,p,Career Projection Quality Freedom to work Global Performance.
54,"Ambiente de trabalho bem tranquilo, gestor muito legal e qualificado, horário flexível para estagiário, alimentação boa no local de trabalho.",p,"Very quiet work environment, very legal and qualified manager, flexible trainee hours, good food in the workplace."
55,"Uma empresa que cumpre com os seus deveres, tem muitos benefícios como plano de saúde com a Unimed, odontológico com a SulAmérica e vale alimentação.",p,"A company that fulfills its duties, has many benefits like health insurance with Unimed, odontological with SulAm\303\251rica and food stamps."
56,"Bastante oportunidade para crescimento, empresa justa e meritocrática. Pessoal do RH atencioso. Cidade hospitaleira e que reconhece a importância do frigorífico na região.",p,"Fair opportunity for growth, fair and meritocratic enterprise. Helpful HR staff. Hospitable city and that recognizes the importance of the refrigerator in the region."
57,"Empresa boa, trabalho administrativo. Convênio Unimed.oportunidade de crescimento. Sempre atenciosa com seus funcionários.muito plano de ação.",p,"Good company, administrative work. Unimed agreement. Opportunity for growth. Always helpful with your employees.very action plan."
58,"Muitas áreas com engajamento na mudança de seus processos internos, se ajustando à melhores práticas. Povo voltado a necessidade de mudança e buscando se reajustar.",p,"Many areas with engagement in changing their internal processes, conforming to best practices. People facing the need for change and seeking to readjust themselves."
59,"Plano de carreira, insentivo de crescimento por parte da hierarquia, ambiente agradável de trabalhar e todas refeições e lanche dentro da empresa",p,"Career plan, growth insinuation by the hierarchy, pleasant working environment and all meals and snacks inside the company"
60,"Grande empresa, que traz grande aprendizado de processos, logística apenas por estar lá dentro. Cultura da empresa espetacular, com anos de tradição. Setor de vendas movido à metas e bônus, fazendo com que geralmente estejam motivados, já que a meta coletiva é mais recompensadora do que a individual",p,"Great company, which brings great learning of processes, logistics just by being in there. Spectacular company culture with years of tradition. Sales sector driven by goals and bonuses, making them generally motivated, since the collective goal is more rewarding than the individual"
61,"Relacionamentos interpessoal comunicação rápida entre líderes e subordinados, clima organizacional tranquilo, desafios, flexibilidade nos horários de trabalho",p,"Interpersonal relationships Rapid communication between leaders and subordinates, quiet organizational climate, challenges, flexibility in working hours"
62,"A empresa tem mais de 40 benefícios para seus funcionários, os quais o funcionário tem a opção de escolher quais eles preferem ter, só é descontos esses que forem escolhidos na folha de pagamento, que é mínimo.",p,"The company has more than 40 benefits for its employees, which the employee has the option to choose which they prefer to have, only the discounts that are chosen in the payroll, which is minimal."
63,"Horario flexible, home office, comedor en planta, buen clima en general, regalos en dias especiales, semana extra de vacaciones. Capacitacion",p,"Flexible schedule, home office, dining room, good weather in general, gifts on special days, extra week of vacations. Training"
64,"Ambiente muito bom, a empresa fornece veiculo, gasolina, vale refeição, participação nos lucros e tabem podemos comprar produtos com preços melhores.",p,"Very good environment, the company provides vehicle, gasoline, meal, profit sharing and tabem we can buy products with better prices."
65,"Clima descontraído, fácil acesso à níveis hierárquicos superiores aos seus e reconhecimento por meritocracia (dependendo da gestão da área). Cesta de produtos congelados mensal além de previdência privada. Para o corporativo e cargos acima de analista existe a possibilidade de homeoffice desde que combinado com sua gerência (ainda não é cultural).",p,"Relaxed climate, easy access to hierarchical levels superior to yours and recognition for meritocracy (depending on area management). Basket of frozen monthly products in addition to private pension. For the corporate and above analyst positions there is the possibility of homeoffice since combined with its management (it is not yet cultural)."
66,"“Excelente ambiente para crescimento profissional” A empresa se preocupa com o bem estar de seus funcionários, tem oportunidade de crescimento profissional. Segurança de seus funcionário sempre esta em primeiro lugar.",p,"\""Excellent environment for professional growth\"" The company cares about the well-being of its employees, has the opportunity for professional growth. Your employee\'s safety always comes first."
67,"Ambiente informal e muita troca de experiências, além de valorizar o funcionário. Empresa que trabalha em um mercado extremamente dinamico e competitivo.",p,"Informal atmosphere and a lot of experience exchange, besides valuing the employee. Company that works in an extremely dynamic and competitive market."
68,"Uma empresa muito boa, tem bons benefícios e oferece toda a infraestrutura para os funcionários, plano nde saúde, cesta básica. Empresa com departamento pessoal excelente.",p,"A very good company, it has good benefits and offers all the infrastructure for employees, health plan, basic basket. Company with excellent personal department."
69,"Oportunidades de desenvolvimento como cursos, materiais e treinamentos e crescimento de carreira, ou seja, capacitando pessoas para ocupar novos cargos.",p,"Development opportunities such as courses, materials and training and career growth, that is, empowering people to fill new positions."
70,"Os benefícios são ótimos e o ambiente de trabalho é excelente, o pessoal é receptivo e disposto a ajudar em qualquer dúvida que surge. A equipe é otima",p,"The benefits are great and the work environment is great, the staff is receptive and willing to help with any questions that arise. The staff is great"
71,Serviço e tranquilo e chefes não ficam em cima enchendo o saco desde que o trabalhador faça o serviço corretamente. Empresa fornece café e aumoço. Tambem gosto muito de trabalhar la pelo fato de não ter expediente fim de semana.,p,Service and quiet and bosses do not stay upstairs filling the bag as long as the worker does the job properly. Company provides coffee and sugar. I also really like working for it because I do not have weekend work.
72,"Valorização do profissiona. Planos de incentivo e de carreira. Liberdade e autonomia para trabalhar. Ambiente corporativo descontraído. Líderes, chefes humanos.",p,"Valorization of the profession. Incentive and career plans. Freedom and autonomy to work. Relaxed corporate atmosphere. Leaders, human bosses."
73,"Pagamento em dia, banco de horas, refeição na empresa, loja com descontos para funcionários, muitos benefícios. Coleguismo prevalece nos setores",p,"Payment on time, bank hours, meal in the company, store with discounts for employees, many benefits. Colleagues prevail in the sectors"
74,Existe um leque grande de oportunidades na empresa. Paga em dia. Tem muitos benefícios. Dependendo de onde trabalha você pode consegui subir de nível até rápido.,p,There is a wide range of opportunities within the company. Pay in day. It has many benefits. Depending on where you work you can be able to level up fast.
75,"Ótima remuneração , ambiente de trabalho bacana , oportunidade de aprendisagem , relaciinamento externo , marca muito forte no mercado de bens de consumo .",p,"Great remuneration, nice work environment, learning opportunity, external relationship, very strong brand in the consumer goods market."
76,Tudo certo segurança qualidade organização deciplina colaboração eu queria fazer parte das equipe BRF eu so funcionários terceirizados de halal mais meu cargo e operador de máquinas e equipamentos 4anos em JBS,p,All right security quality organization collaboration plan I wanted to be part of the BRF team I am outsourced employees of halal plus my position and operator of machines and equipment 4anos in JBS
77,Empresa de bens de consumo com alto poder de inovação. Investem bastante em treinamentos e formação dos colaboradores. Os benefícios são bons.,p,Consumer goods company with high innovation power. They invest heavily in training and training of employees. The benefits are good.
78,"Equipe de trabalho capacitada; benefícios interessantes; alto grau de responsabilidade para baixos cargos, o que torna a empresa uma ótima escola para curtos períodos.",p,"Skilled work team; interesting benefits; high degree of responsibility for low positions, which makes the company a great school for short periods."
79,"Dinâmica, Ambiente saudável, Bem localizada, Acesso a Tecnologia, Liberdade para exercer o trabalho, Previdência Privada, Pessoas qualificadas",p,"Dynamic, Healthy environment, Well located, Access to technology, Freedom to work, Private pension plan, Qualified persons"
80,Empresa boa Lugar bom pra trabalhar e horários adaptáveis e plano de saúde muito bom ótimos médicos e clínicas convencidas boa estrutura otimo,p,Good company Good place to work and adaptable schedules and very good health plan great doctors and clinics convinced good structure great
81,Empresa multinacional brasileira que tem um grande impacto no negócio nacional. Voltou a olhar para as pessoas com tempo de casa de forma positiva.,p,Brazilian multinational company that has a great impact on the national business. He returned to look at people with positive home time.
82,"Colegas sempre engajados e motivados, chefia de fácil acesso, quando ocorre um problema todos se envolvem para resolver, oferecem bons benefícios.",p,"Colleagues always engaged and motivated, heads easily accessible, when a problem occurs everyone gets involved to solve, offer good benefits."
83,Tudo no ambiente de trabalho,p,Everything on the desktop
84,"Produtos, Marcas, Impacto Social. História incrível. Inovação constante. Relação de paixão com consumidor. Oportunidades de criar e crescer.",p,"Products, Marks, Social Impact. Incredible history. Constant innovation. Relationship of passion with consumer. Opportunities to create and grow."
85,"A BRF tem nome muito forte, tem vários benefícios, plano de carreira, plano de saúde, ajuda com estudos, ajuda até quem quer tirar habilitação.",p,"BRF has a very strong name, has several benefits, career plan, health plan, help with studies, help to those who want to take habilitation."
86,Os benefícios são excelentes.. A jornada de trabalho é boa Empresa investe pesado em segurança do trabalho. Produtos de altíssima qualidade e de grande aceitação no mercado,p,The benefits are excellent .. The work day is good Company invests heavily in job security. High quality products with great market acceptance
87,"Pagamentos em dia, acho que essa é única coisa que tem de positivo nessa empresa e com certeza á amizade que fica junto ao pessoal que passa as dificuldades juntos",p,"Payments in day, I think that this is only thing that has of positive in this company and certainly the friendship that is next to the personnel who goes through the difficulties together"
88,"A empresa oferece boa estrutura organizacional, estrutura física satisfatória. Pontualidade nos pagamentos e fornecimento dos benefícios. Bom desconto em produtos e kits gratuitos.",p,"The company provides good organizational structure, satisfactory physical structure. Punctuality in payments and provision of benefits. Good discount on free products and kits."
89,Treinamentos são otimos. Disponibilidade de horarios. Programa de SSMA (saúde segurança e meio ambiente). O gestor sempre ta por perto. Programas de recompensa.,p,Training is great. Availability of schedules. HSE program (health safety and environment). The manager is always around. Reward programs.
90,"As pessoas e a forma com tratam os funcionarios, somos como uma grande familia é bem legal receber atenção sempre que pressisamos de algo eles negocial",p,"The people and the way they treat the officials, we are like a big family, it is very legal to receive attention whenever we press on something they negotiate"
91,Brf pays a decent salary to the employees,p,Brf pays a decent salary to the employees
92,As pessoas sao bem preparadas para ensinar...salario sempre no dia certo Muitos brindes q faz com q os trabalhadores se animem. Uma boa alimentacao sempre comidas de otimas qualidades,p,People are well prepared to teach ... salary always on the right day Many gifts that makes the workers cheer. A good food always food of excellent qualities
93,"o tempo médio de trabalho,. e sem pressão de supervisores, a condição de trabalho e a segurança no trabalho são levados a serio,boa relação trabalhador /empresa",p,"the average working time ,. and without pressure from supervisors, the condition of work and safety at work are taken seriously, good relationship worker / company"
94,"Empresa que oferece um Plano de Excelência Logística muito boa, produtos de qualidade, uma gestão inovadora, uma logística grandiosa e responsável.",p,"Company that offers a very good Logistics Excellence Plan, quality products, an innovative management, a great and responsible logistics."
95,"Ambiente bom, salário compatível com o mercado. Oportunidade de melhorar muita coisa que não funciona hoje Tecnologias novas e novos projetos",p,"Good atmosphere, salary compatible with the market. Opportunity to improve a lot that does not work today New technologies and new projects"
96,- committed employees- friendly environment,e,- committed employees- friendly environment
97,"Big company (100,000 + employees). Complex supply chain, great opportunities to learn and grow. Good company to work.",e,"Big company (100,000 + employees). Complex supply chain, great opportunities to learn and grow. Good company to work."
98,ambiente bom de trabalhar diferente de outras empresas que ouço falar. possibilidade de mudar de posição na empresa devido a grandes oportunidade na companhia.,p,Good environment to work different from other companies I hear about. possibility of changing position in the company due to great opportunities in the company.
99,"A empresa busca o engajamento, desenvolvimento e valorização dos seus talentos profissionais dando oportunidades de crescimento dentro da corporação.",p,"The company seeks the engagement, development and valorization of its professional talents giving opportunities of growth within the corporation."
100,"It's the best school in the food industry. Complex chain and process can add much to your experience. It's quite a challenge working in BRF, and I'm reall gratefull for having this opportunity in my carreer,",e,"It's the best school in the food industry. Complex chain and process can add much to your experience. It's quite a challenge working in BRF, and I'm reall gratefull for having this opportunity in my carreer,"
101,"Ambiente de trabalho saudável, constituído por um quadro de funcionários muito engajado. Mix de produtos bem estabelecidos no mercado, com elevada aceitação pelo cliente final. Empresa com foco muito grande em qualidade do produto entregue.",p,"Healthy working environment, made up of a highly committed staff. Mix of products well established in the market, with high acceptance by the end customer. Company with very great focus on product quality delivered."
102,"Pontuação com o pagamento, sabes se que esta empresa e muito acolhedora, possuem muitas formas e oportunidades para trabalhar nela, independente do cargo.",p,"Score with the payment, you know that this company is very welcoming, have many ways and opportunities to work in it, regardless of the position."
103,incentivos dados aos funcionarios na contratacao e no streinamnetos.,p,incentives given to staff in recruitment and in training.
104,"Nos dar noçao dos salarios das empresas pra que possamos fazer uma analise se vale apena a vaga de emprego,muito bom este site,estao de parabens.",p,"Give us notion of the salaries of companies so that we can do an analysis if it is worth just the job vacancy, very good this site, are of parabens."
105,Benefícios são bons empresa está a anos no mercado e possui reconhecimento. Possui plano de saúde. Ambiente bom de se trabalhar em um geral.,p,Benefits are good company is years in the market and has recognition. Has health plan. Good atmosphere to work in a general.
106,"localização, benefícios.",p,"location, benefits."
107,"Alguns benefícios e salário sempre na data do pagamento, nunca atrasou. Pagam salário condizente com o mercado. Cesta básica com produtos da empresa",p,"Some benefits and salary always on the date of payment, never delayed. Pay salary consistent with the market. Basic basket with company products"
108,"Ambiente de trabalho tranquilo e positivo, oportunidades de crescimento dentro e fora do BR, possibilidade de mudança de área e setor com facilidade.",p,"Quiet and positive work environment, growth opportunities inside and outside BR, possibility of changing area and sector with ease."
109,"Profissionalismo entre os pares vendedores que se ajudavam uns aos outros, pois os gestores trabalhavam contra , para que os vendedores não atingissem suas metas",p,"Professionalism among the salespeople who helped each other, because the managers worked against, so that the sellers did not reach their goals"
110,"O salário é bom, possui vários benefícios como convênios, carro, celular além de que meu cargo me dá certa liberdade de horário devido ao fato de não ser necessário bater ponto.",p,"The salary is good, it has several benefits like covenants, car, cell phone besides that my position gives me some freedom of schedule due to the fact that it is not necessary to hit the point."
111,"O ambiente de trabalho é otimo, bem agradavel, nao precisa usar social todos os dias, o clima é descontraido, nao tem sala de diretor ou sala de gerente sentam todos juntos. Temos a cesta mensal de produtos da empresa o que é otimo. Tem vagas internas e todos podem se candidatar inclusive estagiario.",p,"The work environment is great, very pleasant, do not have to use social every day, the climate is relaxed, there is no director room or manager room sit together. We have the monthly basket of products of the company which is great. It has internal vacancies and everyone can apply even intern."
112,"Aqui é uma empresa multinacional onde nós enquanto funcionários conhecemos várias outras pessoas, tendo até oportunidade de conhecer pessoas de outros países e estados",p,"Here is a multinational company where we as employees meet several other people, even having the opportunity to meet people from other countries and states"
113,"Empresa com atuação global, marcas fortes, produtos de alta qualidade. Oportunidades de movimentação interna... Oportunidade de trabalho voluntário.",p,"Company with global performance, strong brands, high-quality products. Opportunities for internal movement ... Opportunity for volunteer work."
114,"Empresa sempre inovando, oferece bons benefícios e salários compatíveis ao mercado. Diferente de outras empresas, o estacionamento era gratuito. Trabalhava e divulgava fortemente a cultura para que todos conhecem o jeito BRF.",p,"Company always innovating, offers good benefits and salaries compatible with the market. Unlike other companies, parking was free. He worked and disseminated the culture strongly so that everyone knows the BRF way."
115,Trabalho muito bom facil asseso aos domínios da empresa sempre sou ouvido quando solicitado ao encaregado muito produtivo no trabalho quando sou solicitação.,p,I work very well easy asseso to the domains of the company always I am heard when asked to the expensive one very productive in the work when I am request.
116,"Salário compatível com a função, benefícios, confiabilidade na empresa, engajamento do time comercial, suporte ao funcionário, pagamentos corretos e bem esclarecidos.",p,"Salary compatible with the function, benefits, reliability in the company, commercial team engagement, employee support, correct and well informed payments."
117,Plano de saúde excelente - SulAmerica Executivo. Empresa multinacional com marcas e produtos de qualidades que são reconhecidos pelo consumidor.,p,Excellent health plan - SulAmerica Ejecutivo. Multinational company with brands and products of qualities that are recognized by the consumer.
118,"Empresa consolidada no mercado alimentício, possuindo grande estabilidade e consideravelmente boas oportunidades de crescimento profissional.",p,"Consolidated company in the food market, possessing great stability and considerably good opportunities for professional growth."
119,El desarrollo y la gran cantidad de oportunidades. El pago a tiempo del sueldo. La obra social Osde. Las herramientas para cumplir con el trabajo,p,The development and the great amount of opportunities. Payment on time of salary. The Osde social work. The tools to do the job
120,"Gostei muito de trabalhar nesta empresa, onde o funcionário era valorizado, muitos benefícios e planos de carreira. Foram os melhores anos da minha vida.",p,"I really enjoyed working in this company, where the employee was valued, many benefits and career plans. It was the best years of my life."
121,"Ambiente de empresa muito bom, dinamismo e bastante autonomia. .",p,"Very good company environment, dynamism and enough autonomy. ."
122,"Empresa muito boa para atuar, colaboradores bem treinados e equipados focado em servir bem o cliente final , levando a mesa do consumidor produtos de alta qualidade!",p,"Very good company to act, well-trained and equipped employees focused on serving the end customer well, leading the consumer table high-quality products!"
123,"Empresa que encanta os funcionários, pelo seu portfólio e proposta de trabalho. Para quem trabalhava no corporativo, o estacionamento era um benefício muito bom!",p,"Company that enchants the employees, for its portfolio and proposal of work. For those who worked in corporate, parking was a very good benefit!"
124,"Conhecimento e aprendizado, MIX de pessoas com culturas e experiencias profissionais diversas, alem da total liberdade para escolher qual a melhor área para se desenvolver",p,"Knowledge and learning, MIX of people with diverse cultures and professional experiences, besides the total freedom to choose the best area to develop"
125,"People are great, things move fast",e,"People are great, things move fast"
